transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,taux_interet,is_anomaly_amount,is_anomaly_score,is_anomaly,year,month,quarter,weekday,montant_eur_verifie,montant_eur_diff,montant_eur_flag,categorie_risque
txn000559,cli0060,2022-04-19 02:31:00,2050.42,EUR,1.0,2050.42,depot especes,compte epargne,marseille-vieux-port,Credit,Complete,643.0,Premium,16415.1,0.0,0,0,0,2022,4,2,1,2050.42,0.0,False,Medium
txn001154,cli0057,2024-06-20 20:51:00,-123.66,GBP,0.86,-143.79,retrait dab,credit consommation,bordeaux-meriadeck,Debit,Rejete,435.0,Risque,42890.81,0.0,0,0,0,2024,6,2,3,-143.7906976744186,0.0006976744186033557,False,High
txn000764,cli0015,2024-08-28 05:03:00,-396.17,EUR,1.0,-396.17,prelevement,pea,lyon-part-dieu,Debit,Complete,648.0,Standard,48489.38,0.0,0,0,0,2024,8,3,2,-396.17,0.0,False,Medium
txn001598,cli0045,2024-01-07 08:16:00,225.2,EUR,1.0,225.2,paiement cb,credit consommation,bordeaux-meriadeck,Credit,Complete,704.0,Standard,43962.51,0.0,0,0,0,2024,1,1,6,225.2,0.0,False,Low
txn001873,cli0034,2024-08-11 19:52:00,935.32,EUR,1.0,935.32,interets,credit immobilier,bordeaux-meriadeck,Credit,Complete,457.0,Risque,17312.83,0.0,0,0,0,2024,8,3,6,935.32,0.0,False,High
txn001864,cli0061,2024-04-28 23:08:00,-256.73,CHF,0.97,-264.67,remboursement credit,compte epargne,marseille-vieux-port,Debit,Rejete,341.0,Risque,29211.28,0.0,0,1,1,2024,4,2,6,-264.6701030927835,0.00010309278349041051,False,High
txn000931,cli0118,2023-09-13 12:04:00,2752.67,EUR,1.0,2752.67,depot especes,compte epargne,lille-grand-place,Credit,Rejete,641.0,Standard,30331.51,0.0,0,0,0,2023,9,3,2,2752.67,0.0,False,Medium
txn000581,cli0064,2022-10-24 11:30:00,363.52,GBP,0.86,422.7,paiement cb,compte courant,lille-grand-place,Credit,Complete,800.0,Premium,45270.95,0.0,0,0,0,2022,10,4,0,422.69767441860466,0.002325581395325571,False,Low
txn000726,cli0085,2022-04-21 21:15:00,6451.32,EUR,1.0,6451.32,virement international,credit consommation,toulouse-capitole,Credit,Complete,390.0,Risque,19136.15,0.0,1,1,1,2022,4,2,3,6451.32,0.0,False,High
txn000701,cli0009,2023-11-08 18:40:00,2407.48,EUR,1.0,2407.48,depot especes,compte epargne,nice-massena,Credit,Rejete,643.0,Standard,10289.81,0.0,0,0,0,2023,11,4,2,2407.48,0.0,False,Medium
txn001018,cli0031,2022-12-31 00:55:00,-1128.78,USD,1.08,-1045.17,remboursement credit,pea,bordeaux-meriadeck,Debit,Complete,559.0,Risque,10767.62,0.0,0,0,0,2022,12,4,5,-1045.1666666666665,-0.0033333333335576754,False,High
txn001870,cli0038,2023-08-24 04:11:00,-193.06,USD,1.08,-178.76,retrait dab,compte epargne,bordeaux-meriadeck,Debit,Complete,516.0,Risque,17181.83,0.0,0,0,0,2023,8,3,3,-178.75925925925924,-0.0007407407407526989,False,High
txn001124,cli0134,2022-09-27 10:27:00,-199.89,USD,1.08,-185.08,paiement cb,compte courant,nice-massena,Debit,Complete,600.0,Standard,40008.59,0.0,0,0,0,2022,9,3,1,-185.08333333333331,0.00333333333330188,False,Medium
txn000116,cli0077,2024-11-09 17:31:03,-5728.17,EUR,1.0,-5728.17,virement international,compte courant,paris-centre,Debit,Complete,322.0,Risque,33722.94,0.0,1,1,1,2024,11,4,5,-5728.17,0.0,False,High
txn000420,cli0110,2023-11-06 14:34:00,83.25,CHF,0.97,85.82,paiement cb,credit consommation,toulouse-capitole,Credit,Complete,629.0,Standard,15519.02,0.0,0,0,0,2023,11,4,0,85.82474226804123,-0.0047422680412410045,False,Medium
txn001683,cli0080,2024-02-18 08:14:00,-642.99,USD,1.08,-595.36,prelevement,credit consommation,paris-centre,Debit,En attente,643.0,Premium,36036.25,0.0,0,0,0,2024,2,1,6,-595.3611111111111,0.001111111111072205,False,Medium
txn001946,cli0054,2022-09-24 14:46:00,-658.41,USD,1.08,-609.64,remboursement credit,credit immobilier,bordeaux-meriadeck,Debit,Complete,347.0,Nan,32208.9,0.0,0,1,1,2022,9,3,5,-609.6388888888888,-0.0011111111111858918,False,High
txn001726,cli0036,2024-08-08 12:19:00,962.1,MAD,10.85,88.67,remboursement credit,compte epargne,marseille-vieux-port,Credit,Complete,572.0,Risque,14957.42,0.0,0,0,0,2024,8,3,3,88.67281105990784,-0.0028110599078416953,False,High
txn001963,cli0096,2022-05-02 03:39:00,-7100.94,EUR,1.0,-7100.94,virement international,pea,lyon-part-dieu,Debit,Complete,710.0,Standard,39831.11,0.0,1,0,1,2022,5,2,0,-7100.94,0.0,False,Low
txn000886,cli0128,2024-05-12 03:07:00,1385.72,MAD,10.85,127.72,virement,compte epargne,marseille-vieux-port,Credit,Complete,683.0,Standard,1161.31,0.0,0,0,0,2024,5,2,6,127.71612903225807,0.0038709677419319632,False,Medium
txn001448,cli0141,2023-12-07 13:40:03,99999.99,EUR,1.0,264.77,remboursement credit,compte courant,lille-grand-place,Credit,Complete,726.0,Premium,40456.23,0.0,1,0,1,2023,12,4,3,99999.99,-99735.22,True,Low
txn001458,cli0137,2023-02-04 06:12:00,-237.86,EUR,1.0,-237.86,paiement cb,credit immobilier,marseille-vieux-port,Debit,Rejete,725.0,Premium,15778.59,0.0,0,0,0,2023,2,1,5,-237.86,0.0,False,Low
txn001369,cli0026,2022-03-25 09:58:00,-2639.99,USD,1.08,-2444.44,remboursement credit,pea,lille-grand-place,Debit,Complete,699.0,Standard,2697.47,0.0,0,0,0,2022,3,1,4,-2444.4351851851848,-0.004814814815290447,False,Medium
txn001394,cli0041,2023-01-03 06:52:00,-120.35,USD,1.08,-111.44,retrait dab,credit auto,bordeaux-meriadeck,Debit,Complete,643.0,Standard,22528.4,0.0,0,0,0,2023,1,1,1,-111.43518518518518,-0.004814814814821489,False,Medium
txn000663,cli0020,2024-06-30 21:07:00,1091.33,CHF,0.97,1125.08,virement,pea,bordeaux-meriadeck,Credit,Complete,660.0,Standard,41973.38,0.0,0,0,0,2024,6,2,6,1125.0824742268042,-0.0024742268042245996,False,Medium
txn001869,cli0029,2022-05-21 15:53:00,-68.55,EUR,1.0,-68.55,depot especes,credit consommation,paris-centre,Debit,Complete,696.0,Standard,49164.19,0.0,0,0,0,2022,5,2,5,-68.55,0.0,False,Medium
txn001810,cli0097,2022-09-16 03:20:00,2734.98,USD,1.08,2532.39,depot especes,compte epargne,lille-grand-place,Credit,Complete,397.0,Risque,6932.66,0.0,0,1,1,2022,9,3,4,2532.3888888888887,0.0011111111111858918,False,High
